cell_type;weighted_degree
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;6
MUSlong_D;6
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;6
MUSlong_D;6
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;6
MUSlong_D;6
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;6
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;5
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;5
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;5
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;5
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;5
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;4
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;5
MUSlong_D;4
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;4
MUSlong_D;4
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;4
MUSlong_D;4
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;4
MUSlong_D;4
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;4
MUSlong_D;4
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;3
MUSlong_D;3
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;3
MUSlong_D;3
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;3
MUSlong_D;3
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;2
MUSlong_D;3
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;2
MUSlong_D;2
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;2
MUSlong_D;2
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;NA
MUSlong_D;2
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;NA
MUSlong_D;2
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
