"","connector","x","y","z","skid1","skid2"
"11480",6952639,67346.945,114997.82,166000,1631047,1434751
"11481",6952678,91636.58,96523.734,166000,1569125,1649186
"11482",6952684,85384.22,94978.21,168000,1569080,1649133
"11483",6952685,85736.13,94507.5,168000,1649133,1569080
"11484",6952686,85858.53,94183.016,168000,1569080,1649133
"11485",6952687,83343.664,93030.06,168000,1671428,1575990
"11486",6952694,77999.35,117051.29,169920,1570821,1632956
"11487",6952695,85710.85,111393.234,169880,1380855,1633300
"11488",6952702,87782.28,97648.81,169920,1649186,1569102
"11489",6952704,87711.27,97910.125,169920,1569102,1649186
"11490",6952705,60420.8,97650.914,169920,2149565,1474367
"11491",6952710,61419.64,97548.8,169920,1619925,2149565
"11492",6952713,48910.31,97152.37,169920,1623504,1474339
"11493",6952716,84060.32,80749.67,164600,1569036,1633323
"11494",6952720,78216.88,83139.19,162040,1486497,1633486
"11495",6952721,77246.305,83688.09,162040,1569020,1625998
"11496",6952731,80785.44,89400.77,166000,1943617,1570863
"11497",6952788,75818.33,76729.04,160040,1576025,1974610
"11498",6952793,73976.6,77371.22,160040,1633500,1974610
"11499",6952807,58571.066,123803.62,42960,1594456,1851097
"11500",6952810,58545.875,123504.11,42960,1851097,1594523
"11501",6952811,58494.227,124117.625,42960,1308387,1851097
"11502",6952826,56837.344,122921.75,42040,1308387,1851097
"11503",6952835,69750.07,131392.83,42040,1843840,1843938
"11504",6952851,92026.375,99679.25,32000,1568912,1841078
"11505",6952853,92618.78,99516.09,32000,1568912,1841078
"11506",6952854,96244.03,103102.69,31960,1416066,1800092
"11507",6952864,101279.45,77634.54,35680,1719443,1976525
"11508",6952876,57261.293,110399.52,34000,1356912,1841192
"11509",6952883,54807.324,79692.336,28040,1358976,1967827
"11510",6952891,48989.16,74837.305,31680,1621202,1976355
"11511",6952896,48634.035,75827.08,31680,1976355,1358976
"11512",6952900,48735.117,74924.47,32000,1976355,1621202
"11513",6952907,46590.5,75877.02,32000,1358976,1976355
"11514",6952925,59019.207,122744.52,38920,1968217,1649676
"11515",6952933,57066.582,119831.2,38920,1649676,1968217
"11516",6952939,92172.44,84335.49,161680,1670385,1994460
"11517",6952944,93875.24,86312.33,161680,1670385,1671383
"11518",6953020,48831.164,98757.91,127960,1504587,2148397
"11519",6953026,49670.668,97685.75,127960,1450492,2148397
"11520",6953030,50766.758,97321.54,127960,1504601,2148397
"11521",6953050,86009.57,79405.16,161960,1486688,1977301
"11522",6953052,85132.836,79323.2,162040,1944322,1443798
"11523",6953058,84805.836,78755.32,162040,1486688,1944322
"11524",6953069,81666.28,78478.055,162040,1646528,1944322
"11525",6953079,39210.13,112471.18,118000,1381077,1966848
"11526",6953085,37625.92,112928.766,118000,1381967,1966848
"11527",6953088,38079.36,113477.04,118000,1966833,1966848
"11528",6953098,40311.637,114795.62,118000,1378941,1966848
"11529",6953099,39932.695,114940.27,118000,1966848,1378941
"11530",6953109,40064.992,113268.625,118000,1762815,1966848
"11531",6953111,40041.56,113057.32,118000,1564364,1966848
"11532",6953112,40001.66,104886.21,136040,2149745,1574536
"11533",6953124,41840.523,106458.97,136040,1650996,2149745
"11534",6953149,42659.86,104412.945,136040,1574558,2149745
"11535",6953156,44085.527,102709.24,136040,1574558,2149745
"11536",6953158,62362.49,78052.195,162000,2149760,992318
"11537",6953161,62574.97,78134.65,162000,1462261,2149760
"11538",6953167,27663.316,89114.73,154080,1632624,1974691
"11539",6953169,27175.436,89234.836,154080,1632624,1974691
"11540",6953172,26216.73,89473.125,154080,1590910,1974691
"11541",6953181,19073.9,94412.36,148760,1992431,2004340
"11542",6953206,25704.912,124398.234,144120,1421700,1403114
"11543",6953207,33178.145,126866.29,136040,2149787,1403298
"11544",6953215,34268.496,128541.72,136040,1421687,2149787
"11545",6953222,32686.045,129338.21,136040,1199282,2149787
"11546",6953239,38710.34,131362.4,134040,1199282,2149787
"11547",6953247,56813.61,83574.94,34000,881636,1842455
"11548",6953258,89192.47,71153.48,50000,1405233,1851832
"11549",6953278,99981.305,113187.55,55960,1544834,2141970
"11550",6953284,111296.625,87037.875,112000,1844570,1967299
"11551",6953285,55834.55,50523.2,105720,2149830,1694402
"11552",6953298,108278.05,85991.01,66160,2149838,2002496
"11553",6953300,108505.08,86142.055,66160,2002496,2149838
"11554",6953353,45433.28,117308.55,130000,1734276,1651090
"11555",6953360,41859.34,123984.92,140000,1621822,1975004
"11556",6953388,47956.24,116798.41,143000,1621708,1978050
"11557",6953406,46665.055,100905.35,133960,1574558,1974986
"11558",6953417,50909.43,114099.42,132640,1734322,1651078
"11559",6953419,126455.766,81892.164,68480,1984765,1646504
"11560",6953421,126258.09,81033.11,68120,1984765,1646504
"11561",6953429,116175.25,59738.477,81320,1570759,1982979
"11562",6953430,115642.664,52774.188,81320,1975134,1626686
"11563",6953433,118057.45,59264.51,81320,1975134,1626686
"11564",6953438,122409.45,79632.47,65120,1570759,1982969
"11565",6953454,107899.6,109055.39,87920,2156802,1627561
"11566",6953460,108368.95,109219.95,87960,1647156,2156802
"11567",6953464,108236.61,106544.66,87760,1647156,1669116
"11568",6953476,102192.164,63272.297,91160,1669116,1756206
"11569",6953489,103270.45,63697.348,91160,1756206,1964937
"11570",6953491,102767.99,63507.34,91160,1756206,1964937
"11571",6953492,98870.664,61424.582,94000,2156831,1627561
"11572",6953497,98746.07,60226.89,94000,1669116,2156831
"11573",6953509,99476.68,58944.098,93880,1647016,1669116
"11574",6953511,98642.49,58193.266,93880,1647016,1647512
"11575",6953512,99109.8,57491.85,93880,1463843,1647016
"11576",6953513,99557.66,55927.047,93880,1647016,942028
"11577",6953516,103298.83,64058.94,91080,1964937,1669116
"11578",6953517,103079.17,64081.812,91080,1669116,1964937
"11579",6953520,108686.99,109840.7,87960,1669116,2156802
"11580",6953522,100206.64,69639.67,42360,1583898,1975519
"11581",6953548,102904.125,75570.35,42360,1710101,1975519
"11582",6953549,98988.77,110982.47,53160,1853099,1583898
"11583",6953551,27596.025,79526.28,58400,1592834,1852506
"11584",6953552,25801.756,81042.234,58120,1852506,1924768
"11585",6953555,28086.51,80960.09,58360,1853212,1592834
"11586",6953557,23185.582,77877.12,56680,1654367,1924768
"11587",6953583,25567.844,66952.87,53720,2156927,1924768
"11588",6953591,26747.875,65703.516,53680,306267,2156927
"11589",6953592,26705.143,65759.05,53800,306267,1603906
"11590",6953593,44072.09,106918.22,49440,2156938,1603943
"11591",6953595,57130.316,114046.805,53840,1568555,1837104
"11592",6953597,54461.004,111863.016,52800,1837104,1404314
"11593",6953612,35601.97,101572.6,46680,1603906,1976300
"11594",6953619,27007.53,64025.473,55560,1603906,306267
"11595",6953621,25462.756,69744.96,51440,1568469,306267
"11596",6953622,25969.049,70837.26,51240,2159812,1568469
"11597",6953624,26124.215,71096.734,51240,2159818,2159812
"11598",6953718,24145.465,69546.28,51240,306267,2159812
"11599",6953721,31771.215,72440.46,45560,1694422,1950007
"11600",6953739,31574.49,69499.06,46320,1950007,573635
"11601",6953742,34710.13,79449.31,41560,1404341,1851029
"11602",6953744,35523.97,78272.07,41560,1404341,1851029
"11603",6953746,35294.215,78665.766,41560,1851029,1404341
"11604",6953748,61390.605,118835.24,53200,2144644,1404341
"11605",6953751,61434.12,119469.516,53200,2144644,1404341
"11606",6953758,60052.395,120722.53,53200,2144644,1395670
"11607",6953764,57670.81,120790.33,53200,2144644,1356912
"11608",6953768,56926.023,119566.29,53200,2144644,1568526
"11609",6953772,56420.957,118978.41,53200,2144644,1395717
"11610",6953779,55530.65,118463.51,53200,2144644,592728
"11611",6953788,53888.05,118496.23,53200,2144644,1593058
"11612",6953793,53518.516,117369.63,53200,2144644,1934922
"11613",6953795,45305.867,39068.03,69040,1998262,1789296
"11614",6953801,43887.527,40935.53,68720,1998262,2159892
"11615",6953803,43783.473,41216.195,68720,1998262,2159892
"11616",6953853,43732.125,41584.293,68720,1998262,1416278
"11617",6953956,45046.76,42569.844,72040,2159892,1998262
