desmo_id,x,y,z,partner1,partner2
6836295,29838.521,85191.21,102080,1620651,1990679
6836296,30355.988,84058.305,102080,1990704,1620651
6836371,26664.52,89681.28,118960,1990601,1654696
6836373,27020.182,88356.15,118680,1819927,1504346
6836379,27777.705,86620.266,118080,1504375,1819927
6836394,31095.664,87360.016,107120,1621186,1937667
6836404,31677.88,87186.05,106520,1621186,1937667
6836411,32344.9,85353.05,103640,1990757,1621186
6836426,31926.408,86008.05,102560,1621186,1990757
6836449,34538.926,77925.68,104280,1990757,1589825
6836459,34897.79,78381.08,104880,1589825,1990757
6836481,33896.832,85189.445,102720,1990794,1621186
6836714,20095.76,90112.81,100000,1545016,1990846
6836715,20785.488,90400.01,100000,1621330,1990846
6836718,20582.11,90151.33,100280,1621330,1990846
6836726,19998.25,90144.78,100840,1544994,1990846
6836777,21923.297,79618.77,99120,1733848,1937576
6836820,38058.066,89072.52,90840,1179725,1944498
6836822,35152.465,90308.5,90840,1944498,1632358
6836855,39306.996,85992.94,92880,1589825,1944498
6836874,37803.566,88871.81,95320,1944498,1589825
6836876,36914.914,89150.78,94720,1589825,1944498
6836884,37157.465,88992.66,94880,1944498,1589825
6836886,36988.402,89350.414,94880,1589825,1944498
6836887,38259.484,88403.8,94760,1944498,1589825
6836889,39090.934,87270.2,94760,1589825,1944498
6836890,38761.145,87734.13,94960,1944498,1589825
6836893,38288.992,88332.055,95120,1589825,1944498
6836899,36907.992,89219.24,95400,1944498,1589825
6836900,35885.516,90976.59,95400,1179725,1944498
6836901,35903.406,89391.125,95400,1179725,1944498
6836904,34054.98,92424.89,95400,1416559,1944498
6836913,33004.46,92260.3,95720,1416559,1944498
6836914,37317.016,89102.97,95880,1944498,1589825
6836921,39261.97,84511.984,91680,1990975,1990928
6836930,39218.73,85897.22,91560,1944498,1990975
6836941,38410.45,87596.78,90840,1944498,1990975
6836954,38142.027,88203.305,91840,1944498,1990975
6836958,38163.34,89035.76,91920,1559897,1990975
6836972,38010.82,87534.32,90640,1559897,1944498
6836975,38243.848,87905.625,90480,1559897,1944498
6837006,27116.729,90780.5,105960,1628320,1990928
6837048,41046.53,84539.81,85840,1995697,1559897
6837096,28670.207,85588.85,108000,1948859,1620651
6837170,28112.281,92685.05,117320,1991038,1416569
6837178,35599.547,90244.945,107680,1589904,1991038
6837233,26458.053,90149.97,118720,1991058,1654696
6837240,35066.15,86665.586,110600,1589904,1991058
6837337,31232.75,76200.01,101440,1504478,1990704
6837342,33497,76129.086,101520,1816093,1990704
6837418,31805.107,78115.67,103600,2236733,1990757
6837420,31815.816,77639.96,103600,2236733,1589825
6837490,25948.314,95297.39,116400,1991159,1416569
6837498,24414.045,95546.09,117120,1991159,1416569
6837506,23108.398,96292.04,117280,1764323,1416569
6837509,22310.043,96462.875,118400,1416569,1764323
6837513,21048.783,96683.49,118400,1764323,1545004
6837514,21810.168,96608.164,118400,1544994,1764323
6837633,26867.76,117112.21,114880,1567283,1567278
6837642,25329.12,116343.484,114880,1633923,1567278
6837643,26779.754,115417.266,114880,1991204,1567283
6837658,25611.46,114717.54,115360,1567283,1991204
6837744,18940.79,114142.05,115240,1945529,1617669
6837758,18409.61,114604.93,114720,1945529,1617669
6837806,21514.969,112828.84,114920,1991248,1617669
6837840,21382.863,116354.695,114040,1634037,1991248
6837845,23543.121,114090.91,113240,1634037,1991248
6837847,25801.28,114017.61,113520,1991204,1567283
6837849,26146.723,114270.28,113520,1991204,1635567
6837859,26323.094,113683.13,113560,1991204,1567266
6837860,25030.09,113872.375,113520,1991248,1567283
6837872,23957.186,115105.74,114480,1843484,1567283
6837874,23969.877,114579.33,114480,1991248,1567283
6837893,23847.81,116662.51,113520,1843484,1633900
6837917,26854.23,116321.07,113360,1633923,1567278
6837926,20219.5,112921.84,113400,1617669,1991248
6837931,31318.29,125715.4,113440,1685478,1945156
6837946,13953.884,125373.37,113600,1545603,1966446
6837947,14262.716,125850.72,114400,1945555,1545603
6837966,13059.33,127025.54,117520,1545362,1945555
6837972,12161.369,125011.96,117480,1545549,1966446
6837974,29119.934,117351.125,117560,1951842,1701343
6837975,31207.523,119045.7,117560,1951842,1728870
6837976,28690.934,127231.77,117160,1607477,1826567
6837982,28583.15,128095.63,115880,1607477,1945156
6837985,29470.795,126994.19,115880,1607477,1945156
6837994,30596.969,126644.33,116360,1991346,1607477
6838077,21735.625,116170.945,115280,1991248,1634037
6838092,23882.611,114257,114800,1991248,1567283
6838094,24007.96,113523.055,114680,1991248,1567283
6838114,22656.982,117002.71,115040,1634037,1991248
6838115,28017.748,111353.4,111320,1980296,1634037
6838117,29912.752,109447.53,110280,1632012,1980296
6838120,30126.896,109664.89,110280,1980296,1545294
6838150,47535.777,99734.016,94720,1996731,1567002
6838152,51087.273,97176.66,94720,1951760,1032061
6838153,50429.926,96773.445,94720,1951760,1587938
6838154,49438.61,96382.72,94720,1996731,1587898
6838155,47470.26,98357.164,94720,1996731,1991429
6838157,47182.312,98453.62,94720,1566972,1991429
6838161,47338.54,98866.27,94720,1996731,1416388
6838162,47356.16,99258.88,94720,1996731,1416388
6838163,51219.055,100882.445,94720,1231018,1951760
6838169,51581.492,99533.96,94720,1951760,1032061
6838170,51508.266,100019.99,94720,1032061,1951760
6838172,50201.06,102885.9,94840,1632171,1951760
6838173,26809.084,109178.61,108360,1735094,1991456
6838175,26150.256,108744.29,108360,1632012,1991456
6838183,21917.027,113246.64,108360,1991471,1617669
6838197,22087.494,113341.84,107080,1617669,1991471
6838208,22019.455,114169.09,105600,1607477,1991471
6838217,21896.127,115123.49,104360,1607477,1991471
6838220,26185.33,117759.875,103960,1633835,1991471
6838245,27599.146,116698.66,102920,1633835,1991471
6838283,24783.688,113680.02,109960,1932255,1735094
6838285,23184.113,113022.65,110640,1932255,1735094
6838288,23626.758,114010.23,111600,1932255,1735094
6838290,22815.105,113906.43,111560,1932255,1735094
6838293,22407.068,112662.25,110640,1617669,1932255
6838294,23428.209,111812.766,110640,1932255,1617669
6838295,24497.535,110880.66,110640,1932255,1617669
6838310,13000.895,120464.016,122640,1838129,1617669
6838311,14974.08,118513.58,122640,1966446,1617669
6838313,14751.483,120321.81,122640,1617669,1838129
6838342,16625.629,117651.43,120320,1617669,1991540
6838368,15586.265,117867.91,118880,1545589,1991540
6838372,14967.082,118408.94,118760,1545589,1983218
6838375,15594.814,117958.03,118680,1545589,1991540
6838386,13767.641,119272.53,118200,1545589,1983218
6838389,23559.111,115401.71,116280,1567283,1991204
6838390,26283.66,115670.28,115600,1567283,1991204
6838395,26425.766,116331.2,115480,1567283,1567278
6838396,25574.475,116513.95,115480,1633923,1567278
6838406,30395.713,111782.766,112000,1980333,1567204
6838440,29947.098,112922.23,111720,1980376,1635567
6838494,15149.972,123950.945,124000,1567283,1966494
6838499,15893.573,122871.49,123920,1567283,1966494
6838501,16760.99,124886.11,123840,1567283,1838139
6838534,16572.64,122491.445,123040,1991620,1991615
6838538,17074.492,121528.125,123160,1567283,1991620
6838636,26706.143,118326.55,115760,1567283,1567278
6838645,24869.418,117057.67,113320,1633900,1843484
6838646,27190.658,114303.35,111040,1980283,1633900
6838650,15618.119,122169.016,126160,1617669,1838129
6838674,25204.492,116624.26,116760,1991204,1567283
6838678,25147.883,115227.88,115840,1567283,1991204
6838679,25444.23,115412.92,114480,1635567,1991204
6838685,45217.37,100954.54,94480,1996731,1721097
6838686,47612.77,99513.2,94480,1996731,1567002
6838752,23390.82,116986.45,110840,1635582,1933210
6838753,23557.195,116195.83,110440,1933210,1635582
6838764,22410.164,113605.33,109240,1933210,1617669
6838765,22837.436,113270.32,109240,1933210,1617669
6838769,21893.154,113749.78,108760,1933210,1617669
6838774,21911.447,113980.55,108200,1933210,1617669
6838784,24739.541,113011.125,107280,1991714,1635582
6838792,24207.832,110777.11,106400,1632012,1991714
6838821,25043.85,112829.72,106440,1635582,1991714
6838822,25321.459,112178.625,106440,1991714,1635582
6838823,26397.273,114178.92,106440,1635582,1980406
6838892,29108.53,118124.27,111720,1843474,1633864
6838907,30663.896,118084.49,109000,1633864,1843474
6838914,28258.281,119635.57,109040,1933210,1843474
6838921,24781.57,116725.03,109040,1933210,1635582
6838927,32273.693,116853.94,106560,1980394,1633864
6838999,41257.074,118619.17,104400,1635589,1980361
6839000,42217.676,116954.49,104400,1991797,1635589
6839038,40752.703,117236.46,103520,1991811,1635589
6839163,40050.562,117763.94,101200,1635596,1815671
6839164,41961.23,118165.555,101240,1977651,1635596
6839167,42070.395,116752.39,99560,1815691,1635596
6839207,25176.127,121806.414,105720,1633835,1815658
6839208,25550.115,120536.695,105720,1633835,1815658
6839209,24546.506,119162.52,104960,1815658,1633835
6839226,26040.467,119495.71,104840,1633835,1815658
6839227,25563.822,118355.02,104480,1991471,1633835
6839229,29217.516,118050.2,102920,1991875,1633835
6839266,27265.146,117099.46,102080,1991471,1633835
6839268,24667.605,121913.73,106720,1815658,1633835
6839279,51217.24,101415.42,94440,1231018,1951760
6839281,51396.66,100808.64,94440,1951760,1231018
6839282,51973.914,98316.836,94440,1032061,1951760
6839283,51060.258,101639.81,94440,1632171,1951760
6839286,50389.027,102801.95,94440,1632171,1951760
6839287,52674.48,99618.97,92800,1701343,1230301
6839289,52551.82,100036.31,92800,1701343,1230301
6839295,52142.99,95818.24,92920,1701343,1504548
6839296,49862.848,95512.04,92160,1559905,1951760
6839345,47602.383,100616.125,92320,1991934,1721097
6839362,50224.324,99422.48,91160,1996731,1721097
6839364,50050.535,99813.87,91160,1996731,1721097
6839453,31750.814,104309.22,103920,1991962,1991952
6839511,24964.281,121497.945,120440,1940174,1567204
6839513,25480.709,121640.71,120960,1940174,1567266
6839517,21999.229,123030.98,123960,1940174,1403353
6839519,30617.184,122507.945,121400,1381985,1970012
6839521,29084.068,123110.09,121600,1381985,1970021
6839523,28960.113,122543.85,121600,1970021,1381985
6839525,37201.504,119733.125,120360,1966833,1381985
6839563,34203.66,99695.29,63560,1627911,1982759
6839564,35910.01,98767.766,63560,1833680,888787
6839565,36393.348,98313.23,63560,888787,1833693
6839566,35424.547,97586.49,63560,1983689,1833680
6839567,36841.098,97211.73,63560,1833693,1983689
6839579,27663.934,105167.055,162120,1590675,1626672
6839580,27106.924,105321.91,162120,1626672,1590675
6839581,25568.678,105788.195,162120,1646462,1530471
6839582,26076.988,105763.95,162120,1530471,1646462
6839583,26186.959,105795.98,162120,1590675,1646462
6839593,27782.557,107805.695,162000,1396918,1646462
6839594,29237.424,105719.95,162000,1813061,1590675
6839595,28092.086,105334.23,162000,1626672,1590675
6839596,27630.814,104930.13,162000,1590675,1626672
6839601,26505.182,105631.08,162000,1590675,1646462
6839606,25316.535,105437.79,161200,909450,1646462
6839607,25699.762,105398.7,161200,1646462,909450
6839642,22958.148,106619.33,157400,1943529,1590675
6839644,28231.83,100644.51,157400,1590497,1646462
6839651,28420.533,103514.88,157400,909450,1825661
6839653,32009.105,99295.94,157480,1403075,1626602
6839655,34687.523,95564.35,157520,1626621,1695759
6839656,27041.492,102139,156320,1646462,909450
6839658,26851.436,94182.01,156040,1591239,1966308
6839660,26804.902,92538.68,156040,1668901,1590846
6839661,33202.984,93565.75,156040,1591239,1626621
6839662,29373.068,96469.51,148200,1400458,1408946
6839678,29998.879,98437.03,145840,1408946,909450
6839681,32206.549,96216.12,145840,1408946,1408956
6839691,26857.107,100723.74,144840,909450,1948145
6839695,29113.453,99421.15,144840,1948145,909450
6839696,47732.133,92551.54,127640,1947305,1504562
6839698,48486.945,92843.48,128640,1947305,1574394
6839700,43648.395,94978.875,131360,1992114,1507391
6839704,44406.406,94498.15,131360,1947305,1992114
6839709,45163.508,94301.88,132560,1947305,1504562
6839710,42835.223,95517.586,132560,1507391,1947305
6839713,22817.414,106399.64,157720,1943529,1590675
6839718,24591.602,105664.805,157720,1590675,1992051
6839730,31493.652,97871.17,139720,1400469,1992141
6839749,29403.188,99740.64,140760,1636793,1590476
6839751,30564.65,99465.336,140760,1992141,1590476
6839752,31746.22,99157.74,140760,1590476,1992141
6839754,34546.83,97328.57,140760,1718172,1992141
6839773,28362.752,100016.38,142320,909450,1992141
6839779,32192.475,97917.555,143360,1992178,1590476
6839781,31901.096,98000.56,143360,1408956,1992178
6839814,31604.22,96626.49,142280,1992178,1400458
6839820,30753.646,94866.44,142280,1400458,1992178
6839821,30582.303,95921.47,142280,1992178,1400458
6839823,25901.812,98497.23,143640,1400447,1948163
6839888,27080.416,100351.25,147360,1400469,1948145
6839938,23850.582,104751.36,150680,1590675,1992224
6839972,22136.543,106539.37,154320,1943529,1530471
6840019,41314.387,94611.33,134480,1400474,1947305
6840026,17597.154,101268.945,149840,1975310,1590675
6840035,18038.367,101379.625,149160,1590675,1942104
6840047,19059.326,100215.164,148760,1590675,1942104
6840052,18467.697,99452.375,148520,1992313,1590675
6840055,19012.2,100016.72,148400,1992313,1590675
6840060,19722.352,100856.414,148240,1590675,1942104
6840068,16662.242,96626.19,149400,1992417,1591154
6840070,16780.4,99648.74,149400,1975310,1591154
6840072,16518.492,99094.33,149360,1992242,1591154
6840093,20534.105,101948.42,148680,1942104,1590675
6840110,24049.867,100288.84,143680,1590675,1992313
6840123,23821.678,100073.38,143480,1590675,1992313
6840128,26639.236,100493.72,143480,909450,1992313
6840157,26206.36,100426.37,144480,909450,1948145
6840161,26746.947,100554.21,144480,1948145,909450
6840168,28633.754,100197.96,144480,909450,1948145
6840186,24419.172,99592.195,142600,1590675,1992313
6840188,24722.908,99808.836,142600,1992313,1590675
6840201,25491.459,99410.734,142640,1400463,1992313
6840203,27680.354,98701.195,142080,1992313,1400463
6840205,27897.19,99779.57,140400,1636793,1408956
6840208,27054.518,99435.71,140400,909450,1636793
6840210,29183.39,99818.37,140400,1590476,1636793
6840287,24727.271,98845.2,145280,1400447,1948163
6840316,27803.799,99436.23,138680,1408956,1636793
6840321,27859.646,99079.52,138280,1992407,1636825
6840333,26153.41,98544.42,138280,1992407,1636835
6840351,17869.756,94919.28,150840,1591154,1992417
