Id;Label;timeset;type;outline;outline_width;name;unit_id;Weighted Degree;Cluster
2375;2000533;;ellipse;"#000000";1;hemichaetal_sg1r_neuro-4_2;2000533;3;4
2376;2000575;;ellipse;"#000000";1;hemichaetal_sg1r_neuro-5_1;2000575;6;4
2377;2000584;;ellipse;"#000000";1;basal lamina;2000584;3;4
2378;2000687;;ellipse;"#000000";1;EC_circumchaetal_sg1r_neuro-6_5;2000687;2;4
2379;2001807;;ellipse;"#000000";1;EC_V_pygr 2001808;2001807;1;10
2380;2001966;;ellipse;"#000000";1;spinGlandSheet_sg3l2;2001966;4;1
2381;2002047;;ellipse;"#000000";1;basal lamina;2002047;6;5
2382;2002212;;ellipse;"#000000";1;noER_circumchaetal_sg1l_neuro-2_4;2002212;4;6
2383;2002403;;ellipse;"#000000";1;hemichaetal_sg1l_noto-6_2;2002403;2;6
2384;2002472;;ellipse;"#000000";1;basal lamina;2002472;2;6
2385;2002553;;ellipse;"#000000";1;fragment 2002554;2002553;1;9
2386;2003955;;ellipse;"#000000";1;fragment circumchaetal_sg2l_neuro-1_2;2003955;4;3
2387;2004168;;ellipse;"#000000";1;basal lamina;2004168;3;0
2388;2005791;;ellipse;"#000000";1;noER_circumchaetal_sg1l_noto-4_4;2005791;6;6
2389;2008501;;ellipse;"#000000";1;neuron fragment 2008502;2008501;1;3
2390;2009728;;ellipse;"#000000";1;basal lamina;2009728;2;1
2391;2009763;;ellipse;"#000000";1;basal lamina;2009763;2;1
2392;2009867;;ellipse;"#000000";1;EC_D_sg1r 2009868;2009867;4;4
2393;2010379;;ellipse;"#000000";1;EC_V_sg1r 2010380;2010379;1;4
2394;2011079;;ellipse;"#000000";1;EC_V_sg1r 2011080;2011079;7;4
2395;2011168;;ellipse;"#000000";1;EC_V_sg3r 2011169;2011168;5;10
2396;2011436;;ellipse;"#000000";1;EC_D_sg1r 2011437;2011436;7;4
2397;2012939;;ellipse;"#000000";1;basal lamina;2012939;3;17
2398;2014423;;ellipse;"#000000";1;basal lamina;2014423;3;1
2399;2014458;;ellipse;"#000000";1;basal lamina;2014458;8;3
2400;2014508;;ellipse;"#000000";1;ecto fragment 2014509;2014508;1;2
2401;2028024;;ellipse;"#000000";1;basal lamina;2028024;5;5
2402;2028064;;ellipse;"#000000";1;EC_V_sg2r 2028065;2028064;7;2
2403;2029536;;ellipse;"#000000";1;EC_V_sg2r 2029537;2029536;1;11
2404;2033873;;ellipse;"#000000";1;basal lamina;2033873;3;5
2405;2034268;;ellipse;"#000000";1;EC_V_sg3r 2034269;2034268;1;1
2406;2045799;;ellipse;"#000000";1;EC_V_sg2l 2045800;2045799;2;9
2407;2100601;;ellipse;"#000000";1;EC_V_sg3l 2100602;2100601;1;1
2408;2112212;;ellipse;"#000000";1;EC_chaetal_sac_sg2l_neuro-1;2112212;8;9
2409;2141679;;ellipse;"#000000";1;basal lamina;2141679;8;6
2410;2141686;;ellipse;"#000000";1;basal lamina;2141686;36;6
2411;2141697;;ellipse;"#000000";1;basal lamina;2141697;13;7
2412;2141702;;ellipse;"#000000";1;basal lamina;2141702;53;9
2413;2141707;;ellipse;"#000000";1;basal lamina;2141707;29;9
2414;2141714;;ellipse;"#000000";1;basal lamina;2141714;14;9
2415;2141719;;ellipse;"#000000";1;basal lamina;2141719;17;9
2416;2141776;;ellipse;"#000000";1;ecto fragment;2141776;1;1
2417;2141784;;ellipse;"#000000";1;basal lamina;2141784;19;2
2418;2141801;;ellipse;"#000000";1;basal lamina;2141801;47;1
2419;2141806;;ellipse;"#000000";1;basal lamina;2141806;29;1
2420;2141830;;ellipse;"#000000";1;basal lamina;2141830;17;1
2421;2141863;;ellipse;"#000000";1;basal lamina;2141863;23;1
2422;2141871;;ellipse;"#000000";1;basal lamina;2141871;28;5
2423;2141953;;ellipse;"#000000";1;basal lamina;2141953;7;2
2424;2141970;;ellipse;"#000000";1;basal lamina;2141970;25;5
2425;2141981;;ellipse;"#000000";1;basal lamina;2141981;19;5
2426;2141991;;ellipse;"#000000";1;basal lamina;2141991;11;11
2427;2142091;;ellipse;"#000000";1;basal lamina;2142091;16;5
2428;2142109;;ellipse;"#000000";1;basal lamina;2142109;7;11
2429;2142138;;ellipse;"#000000";1;basal lamina;2142138;10;11
2430;2142183;;ellipse;"#000000";1;basal lamina;2142183;5;7
2431;2142195;;ellipse;"#000000";1;basal lamina;2142195;5;7
2432;2144126;;ellipse;"#000000";1;basal lamina;2144126;4;1
2433;2144261;;ellipse;"#000000";1;basal lamina;2144261;2;0
2434;2144275;;ellipse;"#000000";1;basal lamina;2144275;6;10
2435;2144299;;ellipse;"#000000";1;basal lamina;2144299;3;10
2436;2144318;;ellipse;"#000000";1;basal lamina;2144318;2;1
2437;2144341;;ellipse;"#000000";1;basal lamina;2144341;5;10
2438;2144356;;ellipse;"#000000";1;basal lamina;2144356;2;10
2439;2144444;;ellipse;"#000000";1;basal lamina;2144444;4;2
2440;2144462;;ellipse;"#000000";1;basal lamina;2144462;7;2
2441;2144527;;ellipse;"#000000";1;basal lamina;2144527;20;8
2442;2144532;;ellipse;"#000000";1;basal lamina;2144532;21;8
2443;2144537;;ellipse;"#000000";1;basal lamina;2144537;37;8
2444;2144550;;ellipse;"#000000";1;basal lamina;2144550;3;8
2445;2144612;;ellipse;"#000000";1;basal lamina;2144612;18;5
2446;2144644;;ellipse;"#000000";1;basal lamina;2144644;25;11
2447;2144703;;ellipse;"#000000";1;basal lamina;2144703;20;8
2448;2144742;;ellipse;"#000000";1;basal lamina;2144742;11;0
2449;2144773;;ellipse;"#000000";1;basal lamina;2144773;25;0
2450;2144780;;ellipse;"#000000";1;basal lamina;2144780;10;0
2451;2144803;;ellipse;"#000000";1;basal lamina;2144803;2;4
2452;2144873;;ellipse;"#000000";1;basal lamina;2144873;8;6
2453;2145002;;ellipse;"#000000";1;basal lamina;2145002;2;4
2454;2145046;;ellipse;"#000000";1;basal lamina;2145046;4;4
2455;2145754;;ellipse;"#000000";1;basal lamina;2145754;2;2
